Nombre serie,Unidades,Tema dataset,Frecuencia,Cantidad,Detalles,IDs
Recursos Afectados. Valores mensuales 2017,Millones de pesos,Finanzas Públicas,M,60,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 2017 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 2017 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 2017 | Aplicaciones financieras inversión financiera . Metodología 2017 | Aplicaciones financieras gastos figurat. para aplic. financ. . Metodología 2017,374.9_AP_FIN_AMO017_0_M_50_29 | 374.9_AP_FIN_AMO017__50_84 | 374.9_AP_FIN_AMO017__52_46 | 374.9_AP_FIN_CIN017__20_57 | 374.9_AP_FIN_GTO017__39_58
Administración Pública Nacional. Valores trimestrales 2007-2014,Millones de pesos,Finanzas Públicas,T,59,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos. Metodología 2007 - 2014 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local. Metodología 2007 - 2014 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera. Metodología 2007 - 2014 | Aplicaciones financieras inversión financiera. Metodología 2007 - 2014 | Aplicaciones financieras gastos figurat. para aplic. financ.. Metodología 2007 - 2014,372.5_AP_FIN_AMO014_0_T_55_72 | 372.5_AP_FIN_AMO014__55_95 | 372.5_AP_FIN_AMO014__57_26 | 372.5_AP_FIN_CIN014__25_21 | 372.5_AP_FIN_GTO014__44_5
Cobros y pagos por bienes sectorial. Valores mensuales,Millones de dólares,Sector Externo,M,59,"Bienes Cobros Alimentos, Bebidas y Tabaco | Bienes Cobros Comercio | Bienes Cobros Productos Minerales no Metálicos (Cementos, Cerámicos y Otros) | Bienes Cobros Industria Textil y Curtidos | Bienes Cobros Otros Industria Manufacturera",184.1_BIENES_COBACO_0_M_39 | 184.1_BIENES_COBCIO_0_M_22 | 184.1_BIENES_COBCOS_0_M_39 | 184.1_BIENES_COBDOS_0_M_39 | 184.1_BIENES_COBERA_0_M_43
Administración Pública Nacional. Valores anuales 2007-2014,Millones de pesos,Finanzas Públicas,A,58,Aplicaciones financieras amort.deudas y dism. otros pasivos disminución otros pasivos . Metodología 2007 - 2014 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda local . Metodología 2007 - 2014 | Aplicaciones financieras amort.deudas y dism. otros pasivos amortización en moneda extranjera . Metodología 2007 - 2014 | Aplicaciones financieras inversión financiera . Metodología 2007 - 2014 | Aplicaciones financieras gastos figurat. para aplic. financ. . Metodología 2007 - 2014,372.2_AP_FIN_AMO014_0_A_55_73 | 372.2_AP_FIN_AMO014__55_55 | 372.2_AP_FIN_AMO014__57_96 | 372.2_AP_FIN_CIN014__25_40 | 372.2_AP_FIN_GTO014__44_23
Exportaciones por país y región. Valores anuales,Dólares,Sector Externo,A,58,Exportaciones a ALADI. En  dólares FOB | Exportaciones a ASEAN. En  dólares FOB | Exportaciones a Egipto. En  dólares FOB | Exportaciones a Angola. En  dólares FOB | Exportaciones a Argelia En  dólares FOB,77.1_IEAL_0_A_23 | 77.1_IEA_0_A_23 | 77.1_IEA_0_A_24_72 | 77.1_IEA_0_A_24_91 | 77.1_IEA_0_A_25_0
Exportaciones por país y región. Valores mensuales,Dólares,Sector Externo,M,58,Exportaciones a ALADI. En  dólares FOB | Exportaciones a ASEAN. En  dólares FOB | Exportaciones a Egipto. En  dólares FOB | Exportaciones a Angola. En  dólares FOB | Exportaciones a Argelia En  dólares FOB,77.3_IEAL_0_A_23 | 77.3_IEA_0_A_23 | 77.3_IEA_0_A_24_72 | 77.3_IEA_0_A_24_91 | 77.3_IEA_0_A_25_0
Exportaciones por país y región. Valores trimestrales,Dólares,Sector Externo,T,58,Exportaciones a ALADI. En  dólares FOB | Exportaciones a ASEAN. En  dólares FOB | Exportaciones a Egipto. En  dólares FOB | Exportaciones a Angola. En  dólares FOB | Exportaciones a Argelia En  dólares FOB,77.2_IEAL_0_A_23 | 77.2_IEA_0_A_23 | 77.2_IEA_0_A_24_72 | 77.2_IEA_0_A_24_91 | 77.2_IEA_0_A_25_0
Importaciones por país y región. Valores mensuales,Dólares,Sector Externo,M,58,Importaciones a ASEAN. En  dólares FOB | Importaciones a Egipto. En  dólares FOB | Importaciones a Angola. En  dólares FOB | Importaciones a Belgica. En  dólares FOB | Importaciones a Argelia. En  dólares FOB,78.3_IIA_0_A_23 | 78.3_IIA_0_A_24_22 | 78.3_IIA_0_A_24_6 | 78.3_IIA_0_A_25_88 | 78.3_IIA_0_A_25_90
Importaciones por país y región. Valores trimestrales,Dólares,Sector Externo,T,58,Importaciones a ASEAN. En  dólares FOB | Importaciones a Egipto. En  dólares FOB | Importaciones a Angola. En  dólares FOB | Importaciones a Belgica. En  dólares FOB | Importaciones a Argelia. En  dólares FOB,78.2_IIA_0_A_23 | 78.2_IIA_0_A_24_22 | 78.2_IIA_0_A_24_6 | 78.2_IIA_0_A_25_88 | 78.2_IIA_0_A_25_90
Precios FOB oficiales. Valores diarios,Dolares por tonelada,Sector Externo,D,58,"Aceite de cacahuete o maní, a granel | Aceite de Girasol, a granel | Aceite de Girasol, Los Demás, Refinado a granel | Aceite de Girasol, Los Demás, Refinado en tambores de mas de 200 litros | Aceite de soja, a granel",358.1_ACEITE_CACNEL__28 | 358.1_ACEITE_GIRNEL__21 | 358.1_ACEITE_GIRNEL__36 | 358.1_ACEITE_GIRROS__53 | 358.1_ACEITE_SOJNEL__18
