Nombre serie,Unidades,Tema dataset,Frecuencia,Cantidad,Detalles,IDs
"Exportaciones por sector de actividad, saldo comercial y rangos de exportación de la empresa exportadora. Datos mensuales",En porcentaje,Sector Externo,M,21,Índice de difusión por rango de exportación Exportan > USD 1 M | Índice de difusión por rango de exportación Exportan < USD 1 M | Índice de difusión por rango de exportación Mayor a 500M | Índice de difusión por rango de exportación Entre USD 20M y USD 100M | Índice de difusión por rango de exportación Entre USD 100M y USD 500M,362.1_INDICE_DE_1_M__41 | 362.1_INDICE_DE_1_M__44 | 362.1_INDICE_DIF00M_PW2__50 | 362.1_INDICE_DIF00M__50 | 362.1_INDICE_DIF00M__53
Flujos de Inversión Extranjera Directa por sector. Valores trimestrales,Millones de dólares,Sector Externo,T,21,"De flujos de inversión extranjera de actividades administrativas y servicios de apoyo | De flujos de inversión extranjera de agricultura, ganadería, caza, silvicultura y pesca | De flujos de inversión extranjera de comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas | De flujos de inversión extranjera de construcción | De flujos de inversión extranjera de enseñanza",317.1_ACTIVIDADEOYO_0_T_43 | 317.1_AGRICULTURSCA_0_T_45 | 317.1_COMERCIO_PTAS_0_T_57 | 317.1_CONSTRUCCIION_0_T_12 | 317.1_ENSENIANZANZA_0_T_10
Ingreso de la inversión extranjera directa por sector. Valores trimestrales,Millones de dólares,Sector Externo,T,21,"De ingreso de inversión extranjera directa en actividades administrativas y servicios de apoyo | De ingreso de inversión extranjera directa en agricultura, ganadería, caza, silvicultura y pesca | De ingreso de inversión extranjera directa en comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas | De ingreso de inversión extranjera directa en construcción | De ingreso de inversión extranjera directa en enseñanza",318.1_ACTIVIDADEOYO_0_T_43 | 318.1_AGRICULTURSCA_0_T_45 | 318.1_COMERCIO_PTAS_0_T_57 | 318.1_CONSTRUCCIION_0_T_12 | 318.1_ENSENIANZANZA_0_T_10
"Ingreso nacional, ahorro nacional, ahorro externo y ahorro interno a precios constantes. Valores anuales",Millones de pesos,Actividad,A,21,Ahorro interno bruto real: Anual a precios constantes | Ahorro nacional bruto real: Anual a precios constantes | Ahorro real del resto del mundo: Anual a precios constantes | Bienes: Anual a precios constantes | Discrepancia estadística y variación real de existencias: Anual a precios constantes,28.1_AAIBR_0_A_27 | 28.1_AANBR_0_A_28 | 28.1_AARRM_0_A_25 | 28.1_AB_0_A_8 | 28.1_ADEVRE_0_A_53
Producto Interno Bruto. Precios corrientes. Base 1993. Valores anuales.,Millones de pesos,Actividad,A,21,"Valor agregado bruto anual a precios de productor, de agricultura ganaderia caza y silvicultura en pesos corrientes | Valor agregado bruto anual a precios de productor de actividades inmobiliarias empresariales y de alquiler en pesos corrientes | Valor agregado bruto anual a precios de productor de administración pública y defensa en pesos corrientes | Valor agregado bruto anual a precios de productor de comercio mayorista y minorista y reparaciones en pesos corrientes | Valor agregado bruto anual a precios de productor de construcción en pesos corrientes",7.1_AGCS_1993_A_39 | 7.1_AIEA_1993_A_48 | 7.1_APD_1993_A_30 | 7.1_CMMR_1993_A_41 | 7.1_C_1993_A_12
Producto Interno Bruto. Precios corrientes. Base 1993. Valores trimestrales.,Millones de pesos,Actividad,T,21,"Valor agregado bruto trimestral a precios de productor, de agricultura ganaderia caza y silvicultura en pesos corrientes | Valor agregado bruto trimestral a precios de productor de actividades inmobiliarias empresariales y de alquiler en pesos corrientes | Valor agregado bruto trimestral a precios de productor de administración pública y defensa en pesos corrientes | Valor agregado bruto trimestral a precios de productor de comercio mayorista y minorista y reparaciones en pesos corrientes | Valor agregado bruto trimestral a precios de productor de construcción en pesos corrientes",7.2_AGCS_1993_T_39 | 7.2_AIEA_1993_T_48 | 7.2_APD_1993_T_30 | 7.2_CMMR_1993_T_41 | 7.2_C_1993_T_12
Salarios básicos de convenio del oficial de la industria manufacturera. Base 1960. Valores anuales,Índice,Empleo e Ingresos,A,21,Salario del sector alimentacion | Salario del sector calzado | Salario del sector carne | Salario del sector caucho | Salario del sector ceramistas,354.1_ALIMENTACIION__12 | 354.1_CALZADOADO__7 | 354.1_CARNERNE__5 | 354.1_CAUCHOCHO__6 | 354.1_CERAMISTASTAS__10
Salarios básicos de convenio del oficial de la industria manufacturera. Base 1960. Valores trimestrales,Índice,Empleo e Ingresos,T,21,Salario del sector alimentacion | Salario del sector calzado | Salario del sector carne | Salario del sector caucho | Salario del sector ceramistas,354.2_ALIMENTACIION__12 | 354.2_CALZADOADO__7 | 354.2_CARNERNE__5 | 354.2_CAUCHOCHO__6 | 354.2_CERAMISTASTAS__10
Salarios básicos de convenio del peón de la industria manufacturera. Base 1960. Valores anuales,Índice,Empleo e Ingresos,A,21,Salario del sector alimentacion | Salario del sector calzado | Salario del sector carne | Salario del sector caucho | Salario del sector ceramistas,353.1_ALIMENTACIION__12 | 353.1_CALZADOADO__7 | 353.1_CARNERNE__5 | 353.1_CAUCHOCHO__6 | 353.1_CERAMISTASTAS__10
Salarios básicos de convenio del peón de la industria manufacturera. Base 1960. Valores trimestrales,Índice,Empleo e Ingresos,T,21,Salario del sector alimentacion | Salario del sector calzado | Salario del sector carne | Salario del sector caucho | Salario del sector ceramistas,353.2_ALIMENTACIION__12 | 353.2_CALZADOADO__7 | 353.2_CARNERNE__5 | 353.2_CAUCHOCHO__6 | 353.2_CERAMISTASTAS__10
Stock de Inversión Extranjera Directa por sector. Valores semestrales,Millones de dólares,Sector Externo,S,21,"De stock de inversión extranjera directa de actividades administrativas y servicios de apoyo | De stock de inversión extranjera directa de agricultura, ganadería, caza, silvicultura y pesca | De stock de inversión extranjera directa de comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas | De stock de inversión extranjera directa de construcción | De stock de inversión extranjera directa de enseñanza",316.1_ACTIVIDADEOYO_0_S_43 | 316.1_AGRICULTURSCA_0_S_45 | 316.1_COMERCIO_PTAS_0_S_57 | 316.1_CONSTRUCCIION_0_S_12 | 316.1_ENSENIANZANZA_0_S_10
Títulos Públicos de Deuda. Merval,Dólares,Mercados Financieros,D,21,Bono de la Nación Argentina Bonar 2025 - A2E2. Cotización | Bono de la Nación Argentina Bonar 2025 - A2E3. Cotización | Bono de la Nación Argentina Bonar 2027 - A2E7. Cotización | Bono de la Nación Argentina Bonar 2028 - A2E8. Cotización | Bono de la Nación Argentina Bonar 2025 - AA19. Cotización,179.1_A2E2_COTIZION_0_0_15 | 179.1_A2E3_COTIZION_0_0_15_82 | 179.1_A2E7_COTIZION_0_0_15 | 179.1_A2E8_COTIZION_0_0_15_81 | 179.1_AA19_COTIZION_0_0_15
Valor agregado bruto sectorial a precios de productor. Base 1993. Datos Trimestrales,Millones de pesos a precios de 1993,Actividad,T,21,"Valor agregado bruto trimestral a precios de productor, de agricultura ganaderia caza y silvicultura en pesos de 1993 | Valor agregado bruto trimestral a precios de productor, de actividades inmobiliarias empresariales y de alquiler en pesos de 1993 | Valor agregado bruto trimestral a precios de productor, de administracion publica y defensa en pesos de 1993 | Valor agregado bruto trimestral a precios de productor, de comercio mayorista y minorista y reparaciones en pesos de 1993 | Valor agregado bruto trimestral a precios de productor, de construccion en pesos de 1993",5.2_AGCS_1993_T_39 | 5.2_AIEA_1993_T_48 | 5.2_APD_1993_T_30 | 5.2_CMMR_1993_T_41 | 5.2_C_1993_T_12
"Ventas totales en supermercados a valores corrientes y constantes y evolución por canal de venta, medio de pago y grupos de artículos",Miles de pesos,Actividad,M,21,Ventas supermercados. Alimentos preparados y rotisería | Ventas supermercados. Almacén | Ventas supermercados. Artículos  de limpieza y perfumería | Ventas supermercados. Bebidas | Ventas supermercados. Canales On-line,455.1_ALIMENTOS_RIA_0_M_30_74 | 455.1_ALMACENCEN_0_M_7_95 | 455.1_ARTICULOS_RIA_0_M_29_41 | 455.1_BEBIDASDAS_0_M_7_9 | 455.1_CANALES_ONINE_0_M_15_84
Índice de precios implícitos del Valor Agregado Bruto. Base 1993. Valores anuales,Índice 1993=100,Actividad,A,21,"Índice de precios implícitos a precios de productor, de agricultura ganaderia caza y silvicultura | Índice de precios implícitos a precios de productor, de actividades inmobiliarias empresariales y de alquiler | Índice de precios implícitos a precios de productor, de administracion publica y defensa | Índice de precios implícitos a precios de productor, de comercio mayorista y minorista y reparaciones | Índice de precios implícitos a precios de productor, de construccion",22.1_AGCS_1993_A_39 | 22.1_AIEA_1993_A_48 | 22.1_APD_1993_A_30 | 22.1_CMMR_1993_A_41 | 22.1_C_1993_A_12
Índice de precios implícitos del Valor Agregado Bruto. Base 1993. Valores trimestrales,Índice 1993=100,Actividad,T,21,"Índice de precios implícitos a precios de productor, de agricultura ganaderia caza y silvicultura | Índice de precios implícitos a precios de productor, de actividades inmobiliarias empresariales y de alquiler | Índice de precios implícitos a precios de productor, de administracion publica y defensa | Índice de precios implícitos a precios de productor, de comercio mayorista y minorista y reparaciones | Índice de precios implícitos a precios de productor, de construccion",22.2_AGCS_1993_T_39 | 22.2_AIEA_1993_T_48 | 22.2_APD_1993_T_30 | 22.2_CMMR_1993_T_41 | 22.2_C_1993_T_12
"Índices de valor, precios y cantidad de las importaciones de bienes. Valores anuales",Índice 2004=100,Sector Externo,A,21,Índice de cantidad de importaciones. Bienes de capital | Índice de cantidad de importaciones. Bienes de consumo | Índice de cantidad de importaciones. Bienes intermedios | Índice de cantidad de importaciones. Combustibles y lubricantes | Índice de cantidad de importaciones. Nivel general,81.1_IICIBCA_0_A_48 | 81.1_IICIBC_0_A_48 | 81.1_IICIBI_0_A_52 | 81.1_IICICL_0_A_58 | 81.1_IICING_0_A_47
"Índices de valor, precios y cantidad de las importaciones de bienes. Valores trimestrales",Índice 2004=100,Sector Externo,T,21,Índice de cantidad de importaciones. Bienes de capital | Índice de cantidad de importaciones. Bienes de consumo | Índice de cantidad de importaciones. Bienes intermedios | Índice de cantidad de importaciones. Combustibles y lubricantes | Índice de cantidad de importaciones. Nivel general,81.2_IICIBCA_0_T_48 | 81.2_IICIBC_0_T_48 | 81.2_IICIBI_0_T_52 | 81.2_IICICL_0_T_58 | 81.2_IICING_0_T_47
Datos históricos de la industria automotriz. Datos anuales,Unidades,Actividad,A,20,Históricos de la exportaciones categoria b | Históricos de la exportaciones utilitarios | Históricos de la exportaciones automoviles | Históricos de la exportaciones resto | Históricos de la produccion categoria b,330.1_EXPORTACIOA_B__25 | 330.1_EXPORTACIOIOS__25 | 330.1_EXPORTACIOLES__25 | 330.1_EXPORTACIOSTO__19 | 330.1_PRODUCCIONA_B__22
Datos históricos de la industria automotriz. Datos menuales,Unidades,Actividad,M,20,Históricos de la exportaciones categoria b | Históricos de la exportaciones utilitarios | Históricos de la exportaciones automoviles | Históricos de la exportaciones resto | Históricos de la produccion categoria b,330.3_EXPORTACIOA_B__25 | 330.3_EXPORTACIOIOS__25 | 330.3_EXPORTACIOLES__25 | 330.3_EXPORTACIOSTO__19 | 330.3_PRODUCCIONA_B__22
Datos históricos de la industria automotriz. Datos trimestrales,Unidades,Actividad,T,20,Históricos de la exportaciones categoria b | Históricos de la exportaciones utilitarios | Históricos de la exportaciones automoviles | Históricos de la exportaciones resto | Históricos de la produccion categoria b,330.2_EXPORTACIOA_B__25 | 330.2_EXPORTACIOIOS__25 | 330.2_EXPORTACIOLES__25 | 330.2_EXPORTACIOSTO__19 | 330.2_PRODUCCIONA_B__22
Evolución de la tasa de asalarizacion. EPH Continua. Por regiones y tamaño.Valores trimestrales. En %,Porcentaje,Empleo e Ingresos,T,20,Evolución de la tasa de asalariados sin descuento jubilatorio. EPH Continua. Trimestral.Region Pampeana. | Evolución de la tasa de asalariados sin descuento jubilatorio. EPH Continua. Trimestral. Gran Buenos Aires | Evolución de la tasa de asalariados sin descuento jubilatorio. EPH Continua. Trimestral. Aglomeradosde mas de 500.000 habitantes . | Evolución de la tasa de asalariados sin descuento jubilatorio. EPH Continua. Trimestral. Aglomeradosde menos de 500.000 habitantes . | Evolución de la tasa de asalariados sin descuento jubilatorio. EPH Continua. Trimestral.Region Patagonia .,303.1_ASALARIADOANA_0_T_58 | 303.1_ASALARIADOGBA_0_T_53 | 303.1_ASALARIADOHAB_0_T_48 | 303.1_ASALARIADOHAB_0_T_50 | 303.1_ASALARIADONIA_0_T_59
Ex Cajas Provinciales. Valores anuales 2017,Millones de pesos,Finanzas Públicas,A,20,Gastos antes de figurativos . Metodología 2017 | Gastos corrientes transferencias corrientes al sector privado total sector privado . Metodología 2017 | Total gastos corrientes . Metodología 2017 | Gastos corrientes prestaciones de la seguridad social . Metodología 2017 | Gastos despues de figurativos . Metodología 2017,377.3_GTOS_ANTES017__27_28 | 377.3_GTOS_CORR_017_0_A_50_48 | 377.3_GTOS_CORR_017__14_78 | 377.3_GTOS_CORR_017__35_65 | 377.3_GTOS_DESPU017__29_87
Finanzas Públicas. Cuenta A.I.F. - Base devengado. Instituciones de Seguridad Social (1961-1976),Variación Porcentual,Finanzas Públicas,A,20,Ahorro | Aumentos Pasivos Financiento netos | Erogaciones corrientes . Total erogaciones corrientes | Erogaciones corrientes . Transferencias ctes y de capital . Otras | Erogaciones corrientes . Transferencias ctes y de capital . Pasividades,435.1_AHORRORRO_DEVE_0_6_66 | 435.1_AUM_PAS_FITOS_DEVE_0_17_72 | 435.1_EROG_CORR_ORR_DEVE_0_25_43 | 435.1_EROG_CORR_RAS_DEVE_0_28_23 | 435.1_EROG_CORR_SIV_DEVE_0_28_41
Producción de la Industria manufacturera. Valores anuales,Miles de unidades,Actividad,M,20,Acondicionadores de aire para auto en Miles de Unidades | Acondicionadores de aire en Miles de Unidades | Artículos sanitarios de cerámica ( en Miles de piezas | Autorradios en Miles de Unidades | Calefactores y estufas en Miles de Unidades,41.3_AAP_0_A_29 | 41.3_AA_0_A_21 | 41.3_ASC_0_A_29 | 41.3_A_0_A_11 | 41.3_CE_0_A_20
Producción de la Industria manufacturera. Valores mensuales,Miles de toneladas,Actividad,A,20,Acero Crudo en Miles de Toneladas | Aluminio Primario en Miles de Toneladas | Aceites Vegetales en Miles de Toneladas | Asfalto en Miles de Toneladas | Aguarrás en Miles de Toneladas,41.1_ACS45Y_0_M_11 | 41.1_AP_0_M_17 | 41.1_AV_0_M_17 | 41.1_A_0_M_7 | 41.1_A_0_M_8
Producción de la Industria manufacturera. Valores trimestrales,Miles de unidades,Actividad,T,20,Acondicionadores de aire para auto en Miles de Unidades | Acondicionadores de aire en Miles de Unidades | Artículos sanitarios de cerámica ( en Miles de piezas | Autorradios en Miles de Unidades | Calefactores y estufas en Miles de Unidades,41.2_AAP_0_T_29 | 41.2_AA_0_T_21 | 41.2_ASC_0_T_29 | 41.2_A_0_T_11 | 41.2_CE_0_T_20
Valor agregado bruto sectorial a precios de productor. Base 1993. Datos Anuales,Millones de pesos a precios de 1993,Actividad,A,20,"Valor agregado bruto anual a precios de productor, de agricultura ganaderia caza y silvicultura en pesos de 1993 | Valor agregado bruto anual a precios de productor, de actividades inmobiliarias empresariales y de alquiler en pesos de 1993 | Valor agregado bruto anual a precios de productor, de administracion publica y defensa en pesos de 1993 | Valor agregado bruto anual a precios de productor, de comercio mayorista y minorista y reparaciones en pesos de 1993 | Valor agregado bruto anual a precios de productor, de construccion en pesos de 1993",5.1_AGCS_1993_A_39 | 5.1_AIEA_1993_A_48 | 5.1_APD_1993_A_30 | 5.1_CMMR_1993_A_41 | 5.1_C_1993_A_12
"Ventas totales en autoservicios mayoristas a valores corrientes y constantes y evolución por canal de venta, medio de pago y grupos de artículos",Miles de pesos,Actividad,M,20,Autoservicios mayoristas. Almacén | Autoservicios mayoristas. Artículos  de limpieza y perfumería | Autoservicios mayoristas. Bebidas | Autoservicios mayoristas. Canales On-line | Autoservicios mayoristas. Carnes,456.1_ALMACENCEN_0_M_7_96 | 456.1_ARTICULOS_RIA_0_M_29_2 | 456.1_BEBIDASDAS_0_M_7_58 | 456.1_CANALES_ONINE_0_M_15_77 | 456.1_CARNESNES_0_M_6_86
Índice de precios implícitos de la Oferta y Demanda Globales por componente. Base 2004. Valores anuales,Índice 2004=100,Precios,A,20,Índice de Precios Implícitosdel Consumo Público. Base 2004. Anual | Índice de Precios Implícitosde las Exportaciones. Base 2004. Anual | Índice de Precios Implícitosde la Inversión en Construcciones. Base 2004. Anual | Índice de Precios Implícitosde la Inversión en Equipos Durables de Producción Importados. Base 2004. Anual | Índice de Precios Implícitosde la Inversión en Maquinaria y Equipo Impotado. Base 2004. Anual,113.1_IDGCP_2004_A_34 | 113.1_IDGE_2004_A_30 | 113.1_IDGIC_2004_A_36 | 113.1_IDGIEDPI_2004_A_59 | 113.1_IDGIEDPMEI_2004_A_59
Índice de precios implícitos de la Oferta y Demanda Globales por componente. Base 2004. Valores trimestrales,Índice 2004=100,Precios,T,20,Índice de Precios Implícitosdel Consumo Público. Base 2004. Trimestral | Índice de Precios Implícitosde las Exportaciones. Base 2004. Trimestral | Índice de Precios Implícitosde la Inversión en Construcciones. Base 2004. Trimestral | Índice de Precios Implícitosde la Inversión en Equipos Durables de Producción Importados. Base 2004. Trimestral | Índice de Precios Implícitosde la Inversión en Maquinaria y Equipo Impotado. Base 2004. Trimestral,113.2_IDGCP_2004_T_34 | 113.2_IDGE_2004_T_30 | 113.2_IDGIC_2004_T_36 | 113.2_IDGIEDPI_2004_T_59 | 113.2_IDGIEDPMEI_2004_T_59
Índice de precios implícitos de la Oferta y Demanda Globales. Base 2004. Valores anuales,Índice 2004=100,Actividad,A,20,Índice de precios implícitos de demanda global consumo privado | Índice de precios implícitos de demanda global consumo publico | Índice de precios implícitos de demanda global exportacion | Índice de precios implícitos de demanda global ibif construccion | Índice de precios implícitos de demanda global ibif equipo durable produccion importado,25.1_DGCP_2004_A_27 | 25.1_DGCP_2004_A_30 | 25.1_DGE_2004_A_26 | 25.1_DGIC_2004_A_32 | 25.1_DGIEDPI_2004_A_55
Índice de precios implícitos de la Oferta y Demanda Globales. Base 2004. Valores trimestrales,Índice 2004=100,Actividad,T,20,Índice de precios implícitos de demanda global consumo privado | Índice de precios implícitos de demanda global consumo publico | Índice de precios implícitos de demanda global exportacion | Índice de precios implícitos de demanda global ibif construccion | Índice de precios implícitos de demanda global ibif equipo durable produccion importado,25.2_DGCP_2004_T_27 | 25.2_DGCP_2004_T_30 | 25.2_DGE_2004_T_26 | 25.2_DGIC_2004_T_32 | 25.2_DGIEDPI_2004_T_55
Datos producción y  Consumo de Gas Natural,En millones de metros cúbicos,Actividad,A,19,Camuzzi Gas Pampeana | Camuzzi Gas del Sur | Centrales Eléctricas | Comercial | Distrib. Gas Cuyana ECOGAS,364.1_CAMUZZI_GAANA__20 | 364.1_CAMUZZI_GASUR__19 | 364.1_CENTRALES_CAS__20 | 364.1_COMERCIALIAL__9 | 364.1_DISTRIB._GGAS__26
Datos producción y  Consumo de Gas Natural,En millones de metros cúbicos,Actividad,M,19,Camuzzi Gas Pampeana | Camuzzi Gas del Sur | Centrales Eléctricas | Comercial | Distrib. Gas Cuyana ECOGAS,364.3_CAMUZZI_GAANA__20 | 364.3_CAMUZZI_GASUR__19 | 364.3_CENTRALES_CAS__20 | 364.3_COMERCIALIAL__9 | 364.3_DISTRIB._GGAS__26
Datos producción y  Consumo de Gas Natural,En millones de metros cúbicos,Actividad,T,19,Camuzzi Gas Pampeana | Camuzzi Gas del Sur | Centrales Eléctricas | Comercial | Distrib. Gas Cuyana ECOGAS,364.2_CAMUZZI_GAANA__20 | 364.2_CAMUZZI_GASUR__19 | 364.2_CENTRALES_CAS__20 | 364.2_COMERCIALIAL__9 | 364.2_DISTRIB_GGAS__26
Datos producción y ventas por empresa,Metros Cúbicos,Actividad,A,19,"Producción de Petróleo Crudo SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC. (ex OCCIDENTAL) | Producción de Petróleo Crudo PAN AMERICAN ENERGY LLC | Producción de Petróleo Crudo CHEVRON ARGENTINA S.R.L. | Producción de Petróleo Crudo YPF S.A. | Producción de Petróleo Crudo TECPETROL S.A.",365.1_PRODUCCIONINA__46 | 365.1_PRODUCCIONLLC__52 | 365.1_PRODUCCIONSRL__50 | 365.1_PRODUCCION_SA__35 | 365.1_PRODUCCION_SA__41
Datos producción y ventas por empresa,Metros Cúbicos,Actividad,M,19,"Producción de Petróleo Crudo SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC. (ex OCCIDENTAL) | Producción de Petróleo Crudo PAN AMERICAN ENERGY LLC | Producción de Petróleo Crudo CHEVRON ARGENTINA S.R.L. | Producción de Petróleo Crudo YPF S.A. | Producción de Petróleo Crudo TECPETROL S.A.",365.3_PRODUCCIONINA__46 | 365.3_PRODUCCIONLLC__52 | 365.3_PRODUCCIONSRL__50 | 365.3_PRODUCCION_SA__35 | 365.3_PRODUCCION_SA__41
Datos producción y ventas por empresa,Metros Cúbicos,Actividad,T,19,"Producción de Petróleo Crudo SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC. (ex OCCIDENTAL) | Producción de Petróleo Crudo PAN AMERICAN ENERGY LLC | Producción de Petróleo Crudo CHEVRON ARGENTINA S.R.L. | Producción de Petróleo Crudo YPF S.A. | Producción de Petróleo Crudo TECPETROL S.A.",365.2_PRODUCCIONINA__46 | 365.2_PRODUCCIONLLC__52 | 365.2_PRODUCCIONSRL__50 | 365.2_PRODUCCION_SA__35 | 365.2_PRODUCCION_SA__41
Evolución del sector agropecuario. Valores por campaña,Hectáreas,Actividad,A,19,Indicadores de evolución del sector agropecuario. Superficie sembrada de algodón en hectáreas | Indicadores de evolución del sector agropecuario. Superficie sembrada de alpiste en hectáreas | Indicadores de evolución del sector agropecuario. Superficie sembrada de arroz en hectáreas | Indicadores de evolución del sector agropecuario. Superficie sembrada de avena en hectáreas | Indicadores de evolución del sector agropecuario. Superficie sembrada de cebada cervecera en hectáreas,34.1_AHALG_0_P_17 | 34.1_AHALP_0_P_18 | 34.1_AHARR_0_P_15 | 34.1_AHAVE_0_P_15 | 34.1_CCHCEB_0_P_26
Oferta y Demanda Global. Precios constantes. Base 1993. Valores anuales.,Millones de pesos a precios de 1993,Actividad,A,19,"Discrepancia estadistica y variacion de existencia, en millones de pesos de 1993 y Anual. | Consumo privado, en millones de pesos de 1993 y Anual. | Consumo publico, en millones de pesos de 1993 y Anual. | Exportaciones, en millones de pesos de 1993 y Anual. | Inversion bruta interna fija en construccion, en millones de pesos de 1993 y Anual.",2.1_DEVE_1993_A_46 | 2.1_DGCP_1993_A_27 | 2.1_DGCP_1993_A_30 | 2.1_DGE_1993_A_26 | 2.1_DGIC_1993_A_32
Oferta y Demanda Global. Precios constantes. Base 1993. Valores trimestrales.,Millones de pesos a precios de 1993,Actividad,T,19,"Discrepancia estadistica y variacion de existencia, en millones de pesos de 1993 y Trimestral. | Consumo privado, en millones de pesos de 1993 y Trimestral. | Consumo publico, en millones de pesos de 1993 y Trimestral. | Exportaciones, en millones de pesos de 1993 y Trimestral. | Inversion bruta interna fija en construccion, en millones de pesos de 1993 y Trimestral.",2.2_DEVE_1993_T_46 | 2.2_DGCP_1993_T_27 | 2.2_DGCP_1993_T_30 | 2.2_DGE_1993_T_26 | 2.2_DGIC_1993_T_32
Oferta y Demanda Global. Precios corrientes. Base 1993. Valores anuales,Millones de pesos,Actividad,A,19,"Discrepancia estadistica y variacion de existencia, en millones de pesos corrientes y Anual [Base 1993]. | Consumo privado, en millones de pesos corrientes y Anual [Base 1993]. | Consumo publico, en millones de pesos corrientes y Anual [Base 1993]. | Exportaciones, en millones de pesos corrientes y Anual [Base 1993]. | Inversion bruta interna fija en construccion, en millones de pesos corrientes y Anual [Base 1993].",2.3_DEVE_1993_A_46 | 2.3_DGCP_1993_A_27 | 2.3_DGCP_1993_A_30 | 2.3_DGE_1993_A_26 | 2.3_DGIC_1993_A_32
Oferta y Demanda Global. Precios corrientes. Base 1993. Valores trimestrales,Millones de pesos,Actividad,T,19,"Discrepancia estadistica y variacion de existencia, en millones de pesos corrientes y Trimestral [Base 1993]. | Consumo privado, en millones de pesos corrientes y Trimestral [Base 1993]. | Consumo publico, en millones de pesos corrientes y Trimestral [Base 1993]. | Exportaciones, en millones de pesos corrientes y Trimestral [Base 1993]. | Inversion bruta interna fija en construccion, en millones de pesos corrientes y Trimestral [Base 1993].",2.4_DEVE_1993_T_46 | 2.4_DGCP_1993_T_27 | 2.4_DGCP_1993_T_30 | 2.4_DGE_1993_T_26 | 2.4_DGIC_1993_T_32
Stock deuda externa privada. Valores trimestrales,Millones de dólares,Sector Externo,T,19,Stock deuda externa privada por anticipos prefinanciacion bienes | Stock deuda externa privada de comercio y servicios | Stock deuda externa privada de comercio y lineas de crédito | Stock deuda externa privada financiera y otras deudas | Stock deuda externa privada financiera por utilidades y dividendos,313.1_ANTICIPOS_NES_0_T_32 | 313.1_DEUDA_COMEIOS_0_T_25 | 313.1_DEUDA_COMEITO_0_T_30 | 313.1_DEUDA_FINADAS_0_T_29 | 313.1_DEUDA_FINADOS_0_T_42
Turismo receptivo y emisivo. Aeropuerto Internacional de Ezeiza y Aeroparque Jorge Newbery en miles de personas. Valores anuales,Miles de pasajeros,Sector Externo,A,19,Saldo en miles de pasajeros | Turismo emisivo estados unidos canada | Turismo emisivo resto america | Turismo emisivo chile | Turismo emisivo de Aeropuerto Internacional de Ezeiza y Aeroparque Jorge Newbery,322.1_SALDOLDO__5 | 322.1_TURISMO_EMADA__37_50 | 322.1_TURISMO_EMICA__29_40 | 322.1_TURISMO_EMILE__21_61 | 322.1_TURISMO_EMIVO__15
Ex Cajas Provinciales. Valores mensuales 1993-2006,Millones de pesos,Finanzas Públicas,M,18,Aplicaciones financieras inversión financiera . Metodología 1993 - 2006 | Fuentes financieras endeudamiento público e incremento de otros pasivos incremento otros pasivos . Metodología 1993 - 2006 | Gastos antes de figurativos . Metodología 1993 - 2006 | Gastos corrientes transferencias corrientes al sector privado total sector privado . Metodología 1993 - 2006 | Total gastos corrientes . Metodología 1993 - 2006,377.7_AP_FIN_CIN006__25_48 | 377.7_FTES_FIN_E006_0_M_54_55 | 377.7_GTOS_ANTES006__32_21 | 377.7_GTOS_CORR_006_0_M_55_58 | 377.7_GTOS_CORR_006__19_99
Ex Cajas Provinciales. Valores mensuales 2007-2014,Millones de pesos,Finanzas Públicas,M,18,Aplicaciones financieras inversión financiera . Metodología 2007 - 2014 | Fuentes financieras endeudamiento público e incremento de otros pasivos incremento otros pasivos . Metodología 2007 - 2014 | Gastos antes de figurativos . Metodología 2007 - 2014 | Gastos corrientes transferencias corrientes al sector privado total sector privado . Metodología 2007 - 2014 | Total gastos corrientes . Metodología 2007 - 2014,377.8_AP_FIN_CIN014__25_96 | 377.8_FTES_FIN_E014_0_M_54_66 | 377.8_GTOS_ANTES014__32_86 | 377.8_GTOS_CORR_014_0_M_55_88 | 377.8_GTOS_CORR_014__19_3
Factores de explicación de Base Monetaria. Datos diarios,En millones de pesos,Dinero y Bancos,D,18,Compras netas de divisas: Al Tesoro Nacional | Compras netas de divisas: Al Sector Privado | Compras netas de divisas: Total | Operaciones con LEFI | Otras Operaciones con el Tesoro Nacional: Transferencia de Utilidades,331.2_COMPRAS_NENAL__39 | 331.2_COMPRAS_NEROS__40 | 331.2_COMPRAS_NETAL__45 | 331.2_OPERACIONEEFI_D_MONE_0_20_54 | 331.2_OTRAS_OPERDES__39
Factores de explicación de Base Monetaria. Datos mensuales,En millones de pesos,Dinero y Bancos,M,18,Compras netas de divisas: Al Tesoro Nacional | Compras netas de divisas: Al Sector Privado | Compras netas de divisas: Total | Operaciones con LEFI | Otras Operaciones con el Tesoro Nacional: Transferencia de Utilidades,331.1_COMPRAS_NENAL__39 | 331.1_COMPRAS_NEROS__40 | 331.1_COMPRAS_NETAL__45 | 331.1_OPERACIONEEFI_M_MONE_0_20_18 | 331.1_OTRAS_OPERDES__39
